O00187	198	198	100.0
O43240	198	198	100.0
O43464	198	198	100.0
O60259	198	198	100.0
P00740	198	198	100.0
P00742	198	198	100.0
P00746	198	198	100.0
P00748	198	198	100.0
P00749	198	198	100.0
P00750	198	198	100.0
P04070	198	198	100.0
P06681	198	198	100.0
P06870	198	198	100.0
P07288	198	198	100.0
P07477	198	198	100.0
P08246	198	198	100.0
P08311	198	198	100.0
P10144	198	198	100.0
P12544	198	198	100.0
P20151	198	198	100.0
P20231	198	198	100.0
P20718	198	198	100.0
P23946	198	198	100.0
P24158	198	198	100.0
P26927	198	198	100.0
P49862	198	198	100.0
P51124	198	198	100.0
P83110	198	198	100.0
P98073	198	198	100.0
Q04756	198	198	100.0
Q15661	198	198	100.0
Q53HP3	198	198	100.0
Q6UWY2	198	198	100.0
Q92743	198	198	100.0
Q99895	198	198	100.0
Q9UL52	198	198	100.0
Q9Y337	198	198	100.0
Q9Y5K2	198	198	100.0
Q9Y5Y6	198	198	100.0
P00738	195	198	98.48484848484848
P00751	195	198	98.48484848484848
P03951	195	198	98.48484848484848
P03952	195	198	98.48484848484848
P22891	195	198	98.48484848484848
P35030	195	198	98.48484848484848
P48740	195	198	98.48484848484848
Q16651	195	198	98.48484848484848
Q5JP69	195	198	98.48484848484848
Q92876	195	198	98.48484848484848
P20160	194	198	97.97979797979798
P49863	194	198	97.97979797979798
P08709	184	198	92.92929292929293
P14210	184	198	92.92929292929293
P09871	181	198	91.41414141414141
P00747	175	198	88.38383838383838
P05156	175	198	88.38383838383838
P00734	169	198	85.35353535353535
P05981	157	198	79.29292929292929
P00736	86	198	43.43434343434344
Q5JTV8	11	198	5.555555555555555
Q8WXG8	2	198	1.0101010101010102
Q9NR80	2	198	1.0101010101010102
Q8N4S9	1	198	0.5050505050505051
P53816	1	198	0.5050505050505051
